DAY,TIME,WIND_DIR,WIND_SPEED,TEMP,QNH
08,1230Z,310.0,9.0,32.0,1006.0
08,1300Z,320.0,7.0,32.0,1006.0
08,1330Z,360.0,6.0,32.0,1007.0
08,1400Z,320.0,3.0,32.0,1007.0
08,1430Z,340.0,3.0,32.0,1007.0
08,1500Z,320.0,6.0,31.0,1008.0
08,1530Z,330.0,6.0,31.0,1009.0
08,1600Z,310.0,3.0,31.0,1009.0
08,1630Z,320.0,7.0,31.0,1009.0
08,1700Z,320.0,6.0,30.0,1010.0
08,1730Z,340.0,3.0,30.0,1010.0
08,1800Z,320.0,3.0,31.0,1010.0
08,1830Z,310.0,6.0,30.0,1009.0
08,1900Z,330.0,3.0,30.0,1009.0
08,1930Z,290.0,3.0,29.0,1009.0
08,2000Z,230.0,4.0,29.0,1009.0
08,2030Z,260.0,4.0,29.0,1008.0
08,2100Z,240.0,4.0,29.0,1008.0
08,2130Z,220.0,4.0,29.0,1008.0
08,2200Z,200.0,5.0,29.0,1009.0
08,2230Z,200.0,7.0,28.0,1009.0
08,2300Z,200.0,5.0,29.0,1009.0
08,2330Z,210.0,4.0,29.0,1009.0
09,0000Z,180.0,5.0,28.0,1010.0
09,0030Z,160.0,3.0,28.0,1010.0
09,0100Z,0.0,0.0,28.0,1010.0
09,0130Z,0.0,0.0,28.0,1010.0
09,0200Z,130.0,4.0,28.0,1010.0
09,0230Z,130.0,4.0,28.0,1011.0
09,0300Z,140.0,4.0,29.0,1011.0
09,0330Z,210.0,5.0,29.0,1011.0
09,0400Z,160.0,5.0,30.0,1011.0
09,0430Z,180.0,4.0,31.0,1011.0
09,0500Z,220.0,4.0,32.0,1011.0
09,0530Z,0.0,0.0,33.0,1011.0
09,0600Z,230.0,5.0,33.0,1010.0
09,0630Z,280.0,7.0,33.0,1010.0
09,0700Z,290.0,6.0,33.0,1009.0
09,0730Z,290.0,8.0,33.0,1009.0
09,0800Z,300.0,8.0,33.0,1008.0
09,0830Z,290.0,10.0,32.0,1007.0
09,0900Z,290.0,10.0,33.0,1007.0
09,0930Z,300.0,11.0,32.0,1006.0
09,1000Z,290.0,11.0,32.0,1006.0
09,1030Z,290.0,13.0,31.0,1006.0
09,1100Z,300.0,13.0,31.0,1006.0
09,1130Z,300.0,12.0,31.0,1005.0
09,1200Z,290.0,13.0,31.0,1005.0
09,1230Z,330.0,9.0,31.0,1005.0
09,1300Z,320.0,6.0,30.0,1006.0
09,1330Z,340.0,10.0,30.0,1006.0
09,1400Z,330.0,8.0,30.0,1006.0
09,1430Z,340.0,3.0,30.0,1007.0
09,1500Z,310.0,4.0,30.0,1007.0
09,1530Z,230.0,3.0,29.0,1007.0
09,1600Z,230.0,3.0,29.0,1008.0
09,1630Z,250.0,5.0,29.0,1008.0
09,1700Z,310.0,3.0,29.0,1008.0
09,1730Z,300.0,5.0,29.0,1008.0
09,1800Z,300.0,6.0,29.0,1008.0
09,1830Z,290.0,3.0,29.0,1008.0
09,1900Z,250.0,4.0,29.0,1008.0
09,1930Z,220.0,4.0,29.0,1007.0
09,2000Z,230.0,3.0,29.0,1007.0
09,2030Z,250.0,3.0,28.0,1007.0
09,2100Z,220.0,3.0,28.0,1006.0
09,2130Z,190.0,3.0,29.0,1006.0
09,2200Z,150.0,3.0,29.0,1007.0
09,2230Z,130.0,7.0,29.0,1007.0
09,2300Z,150.0,6.0,29.0,1007.0
09,2330Z,150.0,3.0,29.0,1007.0
10,0000Z,150.0,6.0,29.0,1007.0
10,0030Z,140.0,6.0,29.0,1008.0
10,0100Z,150.0,5.0,28.0,1008.0
10,0130Z,150.0,6.0,29.0,1008.0
10,0200Z,150.0,6.0,29.0,1008.0
10,0230Z,170.0,6.0,29.0,1009.0
10,0300Z,180.0,5.0,29.0,1010.0
10,0330Z,200.0,13.0,30.0,1010.0
10,0400Z,200.0,5.0,30.0,1010.0
10,0430Z,200.0,7.0,30.0,1010.0
10,0500Z,260.0,8.0,31.0,1009.0
10,0530Z,250.0,7.0,31.0,1009.0
10,0600Z,250.0,8.0,32.0,1009.0
10,0630Z,190.0,6.0,32.0,1008.0
10,0700Z,220.0,8.0,32.0,1008.0
10,0730Z,230.0,10.0,33.0,1007.0
10,0800Z,210.0,9.0,33.0,1007.0
10,0830Z,260.0,9.0,32.0,1006.0
10,0900Z,210.0,10.0,32.0,1006.0
10,0930Z,220.0,7.0,32.0,1006.0
10,1000Z,220.0,8.0,32.0,1005.0
10,1030Z,270.0,10.0,31.0,1005.0
10,1100Z,280.0,10.0,31.0,1005.0
10,1130Z,270.0,8.0,31.0,1005.0
